vehicle_id,device_id,ride_date,minute_offset,max_vibration_magnitude,above_threshold
unknown,1086240,2026-06-29,0,35757.2,True
unknown,1086240,2026-06-29,1,27934.9,True
unknown,1086240,2026-06-29,2,4757.0,True
unknown,1086240,2026-06-29,3,35371.7,True
unknown,1086240,2026-06-29,4,31559.5,True
unknown,1086240,2026-06-29,26,4833.1,True
unknown,1086240,2026-06-29,27,4874.5,True
unknown,1086240,2026-06-29,28,38801.5,True
unknown,1086240,2026-06-29,29,39749.6,True
unknown,1086240,2026-06-29,30,4758.0,True
unknown,1086240,2026-06-29,31,4773.0,True
unknown,1086240,2026-06-29,32,35391.7,True
unknown,1086240,2026-06-29,33,41775.1,True
unknown,1086240,2026-06-29,34,4744.0,True
unknown,1086240,2026-06-29,73,4831.0,True
unknown,1086240,2026-06-29,74,34305.0,True
unknown,1086240,2026-06-29,75,4762.0,True
unknown,1086240,2026-06-29,76,4807.0,True
unknown,1086240,2026-06-29,77,25485.5,True
unknown,1086240,2026-06-29,78,31138.7,True
unknown,1086240,2026-06-29,79,42219.7,True
unknown,1086240,2026-06-29,80,34431.7,True
unknown,1086240,2026-06-29,81,4762.1,True
unknown,1086240,2026-06-29,82,4752.0,True
unknown,1086240,2026-06-29,83,4819.1,True
unknown,1086240,2026-06-29,84,32689.6,True
unknown,1086240,2026-06-29,85,47241.1,True
unknown,1086240,2026-06-29,86,36305.2,True
unknown,1086240,2026-06-29,87,46230.0,True
unknown,1086240,2026-06-29,88,4754.0,True
unknown,1086240,2026-06-29,89,4749.0,True
unknown,1086240,2026-06-29,140,4865.0,True
unknown,1086240,2026-06-29,141,43803.6,True
unknown,1086240,2026-06-29,142,39416.2,True
unknown,1086240,2026-06-29,143,49255.0,True
unknown,1086240,2026-06-29,144,4814.0,True
unknown,1086240,2026-06-29,145,4802.0,True
unknown,1086240,2026-06-29,146,6915.8,True
unknown,1086240,2026-06-29,147,4762.0,True
unknown,1086240,2026-06-29,148,4764.0,True
unknown,1086240,2026-06-29,238,23698.4,True
unknown,1086240,2026-06-29,239,33185.3,True
unknown,1086240,2026-06-29,240,4793.0,True
unknown,1086240,2026-06-29,241,31352.4,True
unknown,1086240,2026-06-29,242,31419.1,True
unknown,1086240,2026-06-29,243,4810.0,True
unknown,1086240,2026-06-29,244,4800.0,True
unknown,1086240,2026-06-29,245,4773.0,True
unknown,1086240,2026-06-29,246,4791.0,True
unknown,1086240,2026-06-29,247,43874.3,True
unknown,1086240,2026-06-29,248,38103.1,True
unknown,1086240,2026-06-29,249,38879.5,True
unknown,1086240,2026-06-29,250,4779.0,True
unknown,1086240,2026-06-29,251,4771.0,True
unknown,1086240,2026-06-29,252,4761.0,True
unknown,1086240,2026-06-29,255,4830.2,True
unknown,1086240,2026-06-29,256,4828.6,True
unknown,1086240,2026-06-29,257,4770.0,True
unknown,1086240,2026-06-29,258,4808.0,True
unknown,1086240,2026-06-29,259,4803.5,True
unknown,1086240,2026-06-29,260,4795.0,True
unknown,1086240,2026-06-29,261,4763.3,True
unknown,1086240,2026-06-29,262,4765.0,True
unknown,1086240,2026-06-29,263,4763.2,True
unknown,1086240,2026-06-29,264,22030.4,True
unknown,1086240,2026-06-29,265,4757.0,True
unknown,1086240,2026-06-29,266,4755.0,True
unknown,1086240,2026-06-29,267,4830.1,True
unknown,1086240,2026-06-29,268,4825.8,True
unknown,1086240,2026-06-29,269,42688.7,True
unknown,1086240,2026-06-29,270,39551.5,True
unknown,1086240,2026-06-29,271,29723.9,True
